Sex,Condition,Age at 11-months,Age at 17-months,Age at 3 Years,FirstLook_Duration_11mo,Duration_Looking_11mo,FirstLook_Duration_17mo,Duration_Looking_17mo,MCDI_11mo,MCDI_17mo,DVAP_3y,I-Type_Curiosity,D-Type_Curiosity,FirstLook_Duration_11mo_log,Duration_Looking_11mo_log,FirstLook_Duration_17mo_log,Duration_Looking_17mo_log
girl,Expected,13.25,18.18, ,4620,4620,66,2112,8, , , , ,0.664641976,0.664641976,-1.180456064,0.324693914
girl,Expected,13,17.28,47.07,1848,7128,1320,1815,18,23,88,19,14,0.266701967,0.852967691,0.120573931,0.258876629
boy,Expected,13.24,18.12,47.28,4257,6204,1023,3795,10,19,86,14,13,0.62910365,0.792671789,0.009875634,0.57921178
boy,Expected,12.25,16.27, ,1815,4323,2310,4620,11,23, , , ,0.258876629,0.635785236,0.36361198,0.664641976
boy,Expected,12.27,19.13,46.04,4323,5082,3729,3762,7,40, ,13,10,0.635785236,0.706034661,0.571592383,0.575418791
boy,Expected,12.05,18.2,45.1,528,2871,4284,6426,21,50,104,15,15,-0.277366077,0.458033192,0.631849462,0.807940721
boy,Expected,11.22,16,43.01,759,4786,1122,3775,25,29,52,15,8,-0.119758224,0.679972694,0.049992857,0.576916956
girl,Expected,13.24,16.1,44.14,957,3564,2409,3795,23,43,108,19,17,-0.019088062,0.551937695,0.3818368,0.57921178
girl,Expected,11.19,16.19,40.15,2673,5907,1683,4851,24,44,61,18,13,0.426998959,0.771366971,0.226084116,0.685831275
boy,Expected,11.1,17.23,38.1,1947,1947,495,1617,12,19,83,18,14,0.289365952,0.289365952,-0.305394801,0.20871002
girl,Expected,11.14,16.13,36.15,1089,5445,1287,2211,6,26,68,18,13,0.03702788,0.735997884,0.109578547,0.344588743
girl,Expected,10.19,16.19,34.25,9801,9933,924,2046, , ,112,18,14,0.991270389,0.997080435,-0.034328029,0.310905629
boy,Expected,11.06,17.02,35.11,1980,6006,231,2244,2,7,114,19,16,0.29666519,0.778585328,-0.63638802,0.351022853
girl,Expected,11.12,17.04,35.15,5577,5577,264,1849,10,26,94,13,13,0.746400644,0.746400644,-0.578396073,0.266936911
boy,Expected,12.12,19.25,36.05,3267,4059,1617,1617,24,30,64,17,10,0.514149134,0.608419051,0.20871002,0.20871002
boy,Expected,12.12,16.12,36.05,1188,3631,3267,4686,54,80,121,19,15,0.074816441,0.560026249,0.514149134,0.670802284
boy,Expected,12.17,17.28,34.09,2475,3927,3333,4950,5,25,56,19,14,0.393575203,0.594060901,0.522835314,0.694605199
boy,Expected,11.2,17.11,34.05,1980,4290,495,2047,6,18,25,13,12,0.29666519,0.632457292,-0.305394801,0.311117843
boy,Expected,11.1,19.03,33.17,6868,7310,330,1518,9,56,80,17,11,0.836830286,0.863917377,-0.48148606,0.181271772
boy,Expected,10.23,16.05,33.07,1848,2349,1716,4852,10,14,23,14,11,0.266701967,0.370883017,0.234517284,0.685920792
boy,Expected,10.23,18.22,31.01,198,7029,231,4191,22,48,64,15,16,-0.70333481,0.846893543,-0.63638802,0.622317661
girl,Expected,10.18,16.1,30.24,3498,4653,3894,4785,11,34,39,18,16,0.543819805,0.667733053,0.590395947,0.679881942
boy,Expected,12.19,18.03,30.21,2376,5016,1023,1156,7,30,15,16,11,0.375846436,0.700357528,0.009875634,0.062957834
boy,Expected,12.01,18.17,31.28,2376,2376,1856,1856, , ,44,15,11,0.375846436,0.375846436,0.268577972,0.268577972
