title,year,runtime_minutes,genres,average_rating,num_votes
The Monster,1925,86,"Comedy,Horror,Mystery",6.2,1412
The Monster Walks,1932,57,"Horror,Mystery",4.1,1120
The Human Monster,1939,73,"Crime,Drama,Horror",5.7,1579
Man Made Monster,1941,59,"Drama,Horror,Romance",6.1,1953
The Monster and the Girl,1941,65,"Crime,Drama,Horror",6,799
The Mad Monster,1942,77,"Drama,Horror,Romance",3.5,1969
Night Monster,1942,73,"Adventure,Crime,Drama",6.1,1938
The Undying Monster,1942,63,"Drama,Horror,Mystery",6.1,1588
The Lady and the Monster,1944,86,"Horror,Sci-Fi,Thriller",5.7,504
The Monster Maker,1944,62,"Horror,Sci-Fi",4.8,1285
The Soul of a Monster,1944,61,"Drama,Horror,Romance",4.9,289
The Monster and the Ape,1945,295,"Action,Adventure,Horror",5.6,112
The Purple Monster Strikes,1945,201,"Action,Sci-Fi",6.3,214
The Invisible Monster,1950,167,"Action,Adventure,Crime",4.6,267
The Magnetic Monster,1953,76,"Horror,Sci-Fi",5.8,1998
The Island Monster,1954,87,"Crime,Thriller",2.8,489
Robot Monster,1953,66,"Comedy,Family,Horror",3,5538
The Bowery Boys Meet the Monsters,1954,65,"Comedy,Horror,Sci-Fi",5.9,806
Monster from the Ocean Floor,1954,64,"Horror,Sci-Fi",3.8,1062
Bride of the Monster,1955,69,"Horror,Sci-Fi",4.1,7811
The Astounding She-Monster,1957,62,"Crime,Horror,Sci-Fi",3.6,1114
Attack of the Crab Monsters,1957,63,"Horror,Sci-Fi",4.9,3980
The Monolith Monsters,1957,77,"Drama,Horror,Sci-Fi",6.4,4135
The Monster That Challenged the World,1957,84,"Horror,Sci-Fi,Thriller",5.7,3256
Monster from Green Hell,1957,71,"Horror,Sci-Fi",3.7,1413
Teenage Monster,1957,65,"Horror,Sci-Fi,Western",3.7,415
The Electronic Monster,1958,76,"Crime,Horror,Mystery",4.7,227
How to Make a Monster,1958,73,"Horror,Sci-Fi",5.5,1572
I Married a Monster from Outer Space,1958,78,"Horror,Sci-Fi",6.3,3183
Missile Monsters,1958,75,Sci-Fi,4.6,46
The Monster of Piedras Blancas,1959,71,"Horror,Sci-Fi",5.3,1185
Monster on the Campus,1958,77,"Horror,Sci-Fi",5.8,2150
"Caltiki, the Immortal Monster",1959,77,"Adventure,Horror,Sci-Fi",5.9,1685
The Giant Gila Monster,1959,74,"Horror,Sci-Fi,Thriller",3.7,4438
The Ship of Monsters,1960,81,"Comedy,Horror,Sci-Fi",6.3,476
The Cape Canaveral Monsters,1960,69,"Horror,Sci-Fi",3.5,457
The Blancheville Monster,1963,88,Horror,5.4,888
The Monsters,1963,87,Comedy,7.4,2821
The Monster of the Opera,1964,84,Horror,5.3,257
"Ghidorah, the Three-Headed Monster",1964,85,"Action,Adventure,Fantasy",6.5,8302
The Beach Girls and the Monster,1965,70,Horror,3.4,1135
Gamera: The Giant Monster,1965,81,"Action,Horror,Sci-Fi",5.2,3924
Frankenstein Meets the Spacemonster,1965,79,"Horror,Sci-Fi",3.8,1838
Invasion of Astro-Monster,1965,93,"Action,Adventure,Sci-Fi",6.2,7789
The Lemon Grove Kids Meet the Monsters,1968,78,"Adventure,Comedy,Crime",4.2,252
Monster a Go-Go,1965,68,"Horror,Sci-Fi",1.8,10106
"Die, Monster, Die!",1965,80,"Horror,Mystery,Sci-Fi",5.6,3804
The Claw Monsters,1966,100,"Action,Sci-Fi",3.6,15
The Navy vs. the Night Monsters,1966,87,"Horror,Sci-Fi",3.7,833
Slaves of the Invisible Monster,1966,100,Sci-Fi,3.6,16
Kiss Me Monster,1969,75,"Adventure,Horror,Mystery",4.4,779
"Yongary, Monster from the Deep",1967,80,"Adventure,Drama,Fantasy",3.8,1767
Gappa the Triphibian Monster,1967,90,"Action,Adventure,Comedy",4.4,1782
Mad Monster Party?,1967,94,"Animation,Comedy,Family",6.6,3644
