"ResponseId","gender","race","politics","condition","morality_DV","skepticism_DV","bias_DV","race_coded"
"R_xcrIpBQb7l2tjTb","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","strong",1,1,1,"White or European American"
"R_sOo9AMFwGqSmH7P","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","none",2,1,1,"White or European American"
"R_3kGLFbvPrC6CZKp","Female","Asian (for example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)","Liberal","minimal",2,0,1,"Asian"
"R_2D6T3sUsr1vZbCr","Male","Latin  (for example, Mexican, Puerto Rican, Cuban, Dominican, Colombian)","Prefer not to say","strong",3,1,1,"Latine/x"
"R_20MST199QrtABiV","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Slightly Liberal","strong",1,1,1,"White or European American"
"R_334qY0fZ4qWpdq6","Male","Asian (for example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)","Slightly Liberal","none",2,1,1,"Asian"
"R_3qEVBKzYGh9AbcS","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Moderate","minimal",2,0,1,"White or European American"
"R_79tm3aVljFVMLrb","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","none",2,1,1,"White or European American"
"R_2WTLbZ1HytbUb3m","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Extremely Liberal","minimal",1,1,1,"White or European American"
"R_2t8VTzJYN2HF4WH","Male","Asian (for example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)","Liberal","none",2,1,1,"Asian"
"R_26btGWOMK29adAy","Male","Latin  (for example, Mexican, Puerto Rican, Cuban, Dominican, Colombian)","Slightly Conservative","strong",4,1,1,"Latine/x"
"R_1JOYYL7M0tJ2DoQ","Female","Black or African (for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian","Slightly Liberal","strong",3,1,1,"Black or African"
"R_1f93KtNVN91ixbL","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Conservative","minimal",5,0,0,"White or European American"
"R_3CIXD0vCsxrsz28","Female","Other or Prefer to self-describe:","Moderate","none",2,0,1,"Multiracial"
"R_1k1wxjE0MFx7lGA","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Slightly Liberal","minimal",3,1,1,"White or European American"
"R_UrvNl8o0Iqmimvn","Male","Asian (for example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)","Slightly Conservative","minimal",1,0,1,"Asian"
"R_1QnqvZmqPAu3kbo","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Moderate","none",2,1,1,"White or European American"
"R_2an9mnqGe10tJdY","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Slightly Conservative","minimal",5,0,0,"White or European American"
"R_22FzYY3Rzgj3vMP","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Moderate","strong",4,1,1,"White or European American"
"R_0oDoFzzLPKS3Icx","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","none",3,0,1,"White or European American"
"R_9FgjbquUnbk8cRr","Female","Asian (for example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)","Moderate","minimal",2,0,0,"Asian"
"R_urCSs3IWdsSgIOl","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Conservative","strong",5,0,0,"White or European American"
"R_3MSaZYJ2QOSfkc1","Female","Black or African (for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian","Slightly Liberal","minimal",1,1,1,"Black or African"
"R_wWTpM3awNpBK025","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Slightly Liberal","strong",2,1,1,"White or European American"
"R_R5dwRdFEok05hN7","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Extremely Liberal","none",1,1,0,"White or European American"
"R_BWKMFFKJv6yGSGJ","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Extremely Conservative","strong",6,0,0,"White or European American"
"R_26aV7nIk7m7NSu6","Female","Black or African (for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian","Extremely Liberal","none",2,1,1,"Black or African"
"R_2UVO0msIw9SGZPu","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Moderate","none",1,0,0,"White or European American"
"R_23UfXzoWhiuEAuX","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","strong",1,1,1,"White or European American"
"R_1k0kkkoUE3he8OX","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish), Latin  (for example, Mexican, Puerto Rican, Cuban, Dominican, Colombian)","Liberal","minimal",1,1,1,"Multiracial"
"R_1eLiLvLM5PX0pmc","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","strong",5,0,0,"White or European American"
"R_w5n9homs15b7Zeh","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","none",1,1,1,"White or European American"
"R_xrpR70O5cZq9Izv","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","minimal",2,1,1,"White or European American"
"R_1i9To0gwoSmLP2m","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Extremely Liberal","minimal",1,1,1,"White or European American"
"R_28GVfjxF37e0h1D","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Slightly Liberal","none",2,1,1,"White or European American"
"R_1M4jpgCCx4RCmtm","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Moderate","strong",2,1,1,"White or European American"
"R_2OUb6sr5R5Vxogy","Male","Black or African (for example, African American, Jamaican, Haitian, Nigerian, Ethiopian, Somalian","Extremely Liberal","none",2,1,1,"Black or African"
"R_1jkt3lufHrhLkVO","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Slightly Liberal","strong",4,0,0,"White or European American"
"R_2V890IGXeK5x9lT","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Liberal","strong",2,0,0,"White or European American"
"R_6S72DmJeyXt80wh","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Conservative","none",2,0,1,"White or European American"
"R_s5QndvuL4LuPsd3","Female","Asian (for example, Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese)","Extremely Liberal","none",1,1,1,"Asian"
"R_3PFt1yDZqjmkx59","Male","White or European (for example, German, Irish, English, Italian, Polish, Spanish),American Indian or Alaskan Native (for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Nome Eskimo Community)","Extremely Liberal","none",2,1,1,"Multiracial"
"R_31ooajcHEVsoFst","Female","White or European (for example, German, Irish, English, Italian, Polish, Spanish)","Extremely Liberal","minimal",1,1,1,"White or European American"
