,SUBNUM,SEXCODE,SCHLCOD,AGE,PS1,PS2,PS3,PSDIFF,FEEDBACK,FEEDCODE,GOAL,GOALCODE,WELL,GREEN,HOME1,HOME2,LIKE1,LIKE2,FUN,ENJOY,TIMEATTR,EFFATTRI,ABILATTR
1,120,1,0,11,4,2,7,3,Effort,1,b,1,6,3,6,1,6,4,6,5.33,13.5,17,5.5
2,104,1,0,11,4,1,5,1,Effort,1,b,1,3,6,5,1,6,2,5,4.33,12,11,13
3,110,0,0,11,4,3,7,3,Effort,1,b,1,4,6,4,2,6,3,4,4.33,24.5,8,3.5
4,134,0,0,11,4,3,5,1,Effort,1,b,1,4,4,4,2,5,5,6,5.33,9,13,14
5,136,1,0,10,4,1,5,1,Effort,1,b,1,3,4,5,2,5,4,6,5,6.5,21.5,8
6,114,0,0,11,8,4,8,0,Effort,1,b,1,4,6,4,2,5,6,6,5.67,18,13,5
7,117,0,0,11,6,5,9,3,Effort,1,b,1,5,5,4,2,5,5,4,4.67,10,21,5
8,103,0,0,11,6,0,7,1,Effort,1,b,1,4,2,2,1,6,2,4,4,11,11,14
9,128,1,0,10,4,3,4,0,Effort,1,b,1,3,6,4,2,4,4,4,4,14,19,3
10,129,0,0,11,4,1,5,1,Effort,1,b,1,5,5,5,2,6,6,6,6,0,36,0
11,130,0,0,12,5,1,6,1,Effort,1,b,1,3,3,6,1,4,3,5,4,4,19,13
12,125,0,0,11,7,3,8,1,Effort,1,b,1,6,7,5,2,6,5,6,5.67,30,6,0
13,133,1,0,11,5,2,5,0,Effort,1,b,1,4,3,5,2,6,4,6,5.33,29,4,3
14,153,0,0,10,4,0,5,1,Effort,1,b,1,3,4,3,1,6,3,6,5,12,16.5,7.5
15,156,1,0,12,6,4,6,0,Effort,1,b,1,3,5,4,1,6,5,5,5.33,23,13,0
16,159,1,0,10,4,0,4,0,Effort,1,b,1,3,7,5,2,6,5,6,5.67,11,21.5,3.5
17,143,0,0,11,6,2,5,-1,Effort,1,b,1,4,3,3,2,5,4,6,5,30,6,0
18,146,1,0,11,5,1,6,1,Effort,1,b,1,3,5,4,2,5,3,3,3.67,15,14,7
