sex,age,migration_background,gender,origin,similarity,political_solidarity,threat
NA,NA,no,m,Ukraine,2,4.333333333333333,2
m,NA,no,m,Ukraine,5,5.666666666666667,1.6666666666666667
m,18,no,m,Afghanistan,1,1.6666666666666667,1.3333333333333333
m,18,no,m,Ukraine,5,5.666666666666667,1
f,18,no,m,Afghanistan,4,6.666666666666667,1
f,18,no,f,Afghanistan,1,6,1
m,18,no,m,Afghanistan,3,4.333333333333333,1.3333333333333333
f,18,no,m,Afghanistan,5,4,2.6666666666666665
m,18,no,f,Afghanistan,2,2.6666666666666665,3
m,18,no,m,Ukraine,6,5.333333333333333,2.6666666666666665
f,19,no,f,Ukraine,5,3.6666666666666665,1
m,19,no,m,Ukraine,6,5.666666666666667,1
m,19,yes,f,Ukraine,5,4,2.6666666666666665
f,19,no,m,Ukraine,4,4,1
m,19,yes,f,Ukraine,2,4,2
f,19,no,m,Ukraine,4,7,1
f,19,no,m,Afghanistan,2,2.6666666666666665,3.3333333333333335
f,19,yes,f,Ukraine,5,7,1
m,19,no,f,Ukraine,3,6,1
m,19,no,f,Ukraine,4,3.3333333333333335,1.3333333333333333
m,19,yes,m,Afghanistan,4,3.6666666666666665,4
f,19,yes,m,Ukraine,4,4.666666666666667,1.3333333333333333
m,19,yes,m,Afghanistan,4,2.6666666666666665,1.3333333333333333
f,19,no,m,Afghanistan,4,3.3333333333333335,3.3333333333333335
f,19,no,m,Ukraine,1,6.333333333333333,1
m,19,yes,m,Afghanistan,4,6,1
f,19,no,m,Afghanistan,4,4,1
f,19,no,m,Ukraine,5,4,1
m,19,no,f,Ukraine,4,5.666666666666667,1.3333333333333333
f,19,yes,f,Ukraine,2,7,1
f,19,no,f,Afghanistan,5,5.333333333333333,1
f,19,yes,f,Afghanistan,2,5.666666666666667,1.3333333333333333
m,19,no,m,Ukraine,5,3,1
m,19,yes,m,Afghanistan,4,5,1.6666666666666667
f,19,no,f,Afghanistan,5,6.666666666666667,1
NA,19,yes,m,Afghanistan,4,5,1.6666666666666667
f,19,no,f,Ukraine,5,6,1
f,19,yes,f,Afghanistan,5,6.666666666666667,1
m,19,no,f,Afghanistan,5,5.333333333333333,1
f,19,yes,m,Ukraine,2,3.3333333333333335,1.3333333333333333
m,19,no,m,Ukraine,3,5.666666666666667,1
f,19,no,f,Ukraine,4,6.666666666666667,1
m,19,yes,m,Ukraine,4,4.333333333333333,3
f,19,no,f,Ukraine,3,4.333333333333333,1.3333333333333333
f,19,yes,m,Ukraine,2,3.6666666666666665,2
f,19,no,f,Afghanistan,3,5.333333333333333,1
f,19,no,f,Afghanistan,1,3.3333333333333335,1.3333333333333333
f,20,yes,f,Ukraine,3,4.333333333333333,1
f,20,no,m,Ukraine,4,4.666666666666667,1
m,20,yes,f,Ukraine,5,6,1
m,20,no,f,Ukraine,4,7,2
m,20,no,f,Ukraine,3,6,1
f,20,no,f,Afghanistan,1,3.6666666666666665,1
m,20,no,m,Afghanistan,2,1,5
f,20,no,m,Ukraine,3,4.666666666666667,1
m,20,no,m,Afghanistan,3,4.666666666666667,1.3333333333333333
f,20,no,m,Ukraine,3,6,1
f,20,no,f,Ukraine,3,5.333333333333333,1
f,20,no,f,Ukraine,5,5.666666666666667,1
f,20,no,f,Afghanistan,6,5,1
m,20,yes,f,Afghanistan,4,2,2.6666666666666665
f,20,yes,m,Ukraine,6,6.666666666666667,1
f,20,no,m,Afghanistan,3,5,1
m,20,no,f,Ukraine,4,3.3333333333333335,1.3333333333333333
m,20,yes,m,Afghanistan,2,3.6666666666666665,2.6666666666666665
m,20,yes,m,Ukraine,3,2.6666666666666665,4
f,20,no,f,Ukraine,6,6.333333333333333,1
f,20,no,f,Ukraine,3,5,1.3333333333333333
f,20,no,m,Ukraine,2,3.6666666666666665,1
f,20,no,f,Ukraine,2,4.666666666666667,1
f,20,no,m,Afghanistan,1,4.333333333333333,2.3333333333333335
f,20,no,m,Afghanistan,4,5.333333333333333,1.3333333333333333
m,20,no,m,Afghanistan,3,5,1
f,20,no,f,Ukraine,4,5.333333333333333,1
m,20,no,m,Afghanistan,3,4,1.3333333333333333
f,20,no,f,Afghanistan,4,4.666666666666667,1.6666666666666667
f,20,yes,m,Ukraine,6,6,1
f,20,no,f,Afghanistan,4,7,1
m,20,yes,m,Afghanistan,2,1.3333333333333333,2.3333333333333335
m,20,no,f,Ukraine,2,6,1
f,20,no,f,Afghanistan,2,6,1.3333333333333333
f,20,no,m,Ukraine,4,3.6666666666666665,1
f,20,yes,f,Afghanistan,4,5.333333333333333,2.3333333333333335
f,20,no,m,Ukraine,1,6,1
f,20,no,f,Ukraine,3,6,1
m,20,no,m,Afghanistan,6,4.666666666666667,1
m,20,yes,f,Afghanistan,4,4.333333333333333,3.3333333333333335
NA,20,no,f,Ukraine,3,5.666666666666667,2
f,20,no,m,Afghanistan,4,4,2.3333333333333335
f,20,no,f,Ukraine,4,5.333333333333333,1.3333333333333333
f,20,yes,m,Ukraine,1,5,1
f,20,no,f,Afghanistan,7,3.3333333333333335,1.6666666666666667
m,20,yes,f,Afghanistan,2,6.333333333333333,1
f,20,yes,m,Ukraine,2,3.3333333333333335,1
m,20,no,f,Ukraine,3,2.6666666666666665,1.3333333333333333
f,20,no,f,Ukraine,4,5,1
m,21,yes,f,Ukraine,4,4,2
m,21,no,f,Afghanistan,1,5,1.3333333333333333
m,21,no,m,Afghanistan,1,3.6666666666666665,3.3333333333333335
m,21,yes,m,Afghanistan,4,5.333333333333333,1.3333333333333333
f,21,no,f,Afghanistan,4,6.333333333333333,1
m,21,no,f,Afghanistan,2,2.3333333333333335,1
f,21,no,f,Ukraine,5,5.666666666666667,1
f,21,no,f,Afghanistan,6,5.333333333333333,1.3333333333333333
f,21,no,f,Ukraine,5,6.333333333333333,1.3333333333333333
m,21,no,f,Afghanistan,1,3.3333333333333335,1
f,21,yes,m,Ukraine,4,3.6666666666666665,1
f,21,yes,f,Afghanistan,4,6.333333333333333,1
m,21,yes,m,Afghanistan,5,4.666666666666667,1.3333333333333333
f,21,yes,f,Ukraine,3,4.666666666666667,1
f,21,no,m,Ukraine,1,5,1
m,21,no,m,Ukraine,5,5,1.3333333333333333
m,21,no,m,Ukraine,4,3.6666666666666665,2
f,21,no,m,Afghanistan,4,6,1.6666666666666667
f,21,no,f,Afghanistan,5,7,1
m,21,no,m,Ukraine,1,3.6666666666666665,1
f,21,no,m,Afghanistan,1,3.6666666666666665,1
f,21,no,m,Afghanistan,2,5,2.3333333333333335
f,21,no,m,Afghanistan,1,4,3.6666666666666665
f,21,no,f,Afghanistan,4,6.666666666666667,1
f,21,no,m,Ukraine,2,4.666666666666667,3
NA,21,yes,f,Afghanistan,4,6.333333333333333,1
m,21,yes,m,Ukraine,3,5,1
m,21,no,f,Ukraine,5,5,1
m,21,yes,m,Ukraine,5,4.333333333333333,1.6666666666666667
m,21,no,m,Ukraine,5,7,1
f,21,no,f,Afghanistan,5,6.333333333333333,1
m,21,no,m,Ukraine,2,4.333333333333333,1
m,21,yes,m,Afghanistan,3,3.6666666666666665,2
f,21,no,f,Afghanistan,5,6.666666666666667,1
f,21,no,m,Ukraine,5,6.666666666666667,1
f,21,no,m,Ukraine,2,3,1
m,21,yes,f,Ukraine,4,5,1
f,21,no,m,Ukraine,3,4.333333333333333,2.3333333333333335
f,21,no,m,Afghanistan,5,4.333333333333333,1
f,21,no,m,Ukraine,3,5.666666666666667,1
f,21,no,m,Afghanistan,2,4.666666666666667,1.3333333333333333
f,21,no,m,Afghanistan,3,4.333333333333333,1
f,21,no,f,Ukraine,4,5.333333333333333,1
f,21,no,m,Ukraine,3,4.666666666666667,1.6666666666666667
m,21,no,f,Afghanistan,3,3.6666666666666665,1.3333333333333333
NA,21,no,m,Ukraine,1,7,1
f,21,no,m,Ukraine,1,4.666666666666667,1
m,21,no,m,Afghanistan,2,4.333333333333333,3.6666666666666665
f,21,no,f,Ukraine,5,6,1
m,21,no,f,Ukraine,5,3.6666666666666665,2
NA,21,no,m,Afghanistan,3,4.666666666666667,2
f,21,yes,f,Ukraine,3,5.666666666666667,1
f,21,yes,f,Afghanistan,3,6.333333333333333,1
m,21,yes,m,Afghanistan,1,3,2
f,21,yes,f,Ukraine,4,5,1.3333333333333333
f,21,no,m,Afghanistan,4,6.666666666666667,1
m,21,no,m,Ukraine,5,5,1.3333333333333333
m,21,no,f,Afghanistan,1,2,1.6666666666666667
m,21,no,m,Afghanistan,1,1.3333333333333333,5
f,21,yes,f,Ukraine,4,6.666666666666667,1
m,21,yes,m,Ukraine,4,6,1.6666666666666667
f,21,yes,m,Afghanistan,5,6.333333333333333,1.3333333333333333
f,22,yes,m,Ukraine,5,6.333333333333333,1.3333333333333333
m,22,no,f,Ukraine,2,4.666666666666667,1
f,22,yes,m,Afghanistan,2,3.6666666666666665,2
NA,22,no,f,Ukraine,4,7,1
m,22,no,m,Ukraine,5,4.666666666666667,1
f,22,no,f,Afghanistan,4,5.333333333333333,1.6666666666666667
f,22,yes,f,Ukraine,7,5.666666666666667,1
f,22,no,m,Afghanistan,2,3,1
f,22,no,f,Afghanistan,6,6.333333333333333,1
f,22,no,m,Ukraine,4,4.333333333333333,2.6666666666666665
m,22,no,f,Afghanistan,2,3.6666666666666665,1
m,22,no,m,Ukraine,4,4.333333333333333,1.6666666666666667
m,22,no,f,Ukraine,6,6,1.3333333333333333
f,22,no,f,Afghanistan,4,5,1.6666666666666667
m,22,no,f,Ukraine,1,3,1.3333333333333333
f,22,yes,f,Afghanistan,3,4,1
m,22,no,f,Ukraine,1,5,1
f,22,no,m,Afghanistan,1,3.3333333333333335,3.3333333333333335
m,22,no,m,Afghanistan,5,3.6666666666666665,1
f,22,no,m,Ukraine,2,3,1.6666666666666667
f,22,no,m,Afghanistan,2,4,1
m,22,no,f,Afghanistan,2,4,3
m,22,no,f,Ukraine,4,5.666666666666667,1
f,22,yes,f,Ukraine,4,6,1
NA,22,yes,m,Afghanistan,2,4.666666666666667,1
f,22,no,f,Afghanistan,5,5,1
f,22,yes,f,Afghanistan,2,3.6666666666666665,2
f,22,no,m,Afghanistan,4,5,1.6666666666666667
m,22,yes,f,Afghanistan,3,3.6666666666666665,1.3333333333333333
f,22,yes,f,Afghanistan,4,5,1
f,22,no,f,Afghanistan,6,6,1
f,22,no,f,Ukraine,3,4,2
f,22,no,f,Ukraine,4,6.333333333333333,1
m,22,yes,m,Ukraine,3,4,1
f,22,no,m,Ukraine,5,5.333333333333333,1
f,22,no,f,Ukraine,2,4.333333333333333,1
m,22,no,m,Afghanistan,2,5,2
m,22,no,m,Ukraine,1,4.666666666666667,1
f,22,no,f,Afghanistan,7,4.666666666666667,2.3333333333333335
f,22,yes,m,Ukraine,5,5,1
f,22,yes,f,Ukraine,1,3.3333333333333335,1
f,22,no,f,Ukraine,3,5,1
m,22,no,m,Ukraine,1,1.6666666666666667,1.6666666666666667
f,22,no,m,Afghanistan,2,4.333333333333333,1
NA,22,no,m,Ukraine,5,5.666666666666667,1
f,22,no,m,Afghanistan,2,3.6666666666666665,1
f,22,yes,f,Afghanistan,4,6,1
m,22,no,m,Afghanistan,3,4,1.3333333333333333
m,22,no,f,Afghanistan,4,4.666666666666667,1
m,22,yes,m,Afghanistan,1,2.6666666666666665,3.3333333333333335
m,22,no,m,Afghanistan,4,3.3333333333333335,2.6666666666666665
m,22,yes,f,Afghanistan,4,5,2.3333333333333335
f,22,yes,m,Ukraine,5,6.666666666666667,1
m,22,no,f,Afghanistan,3,3.6666666666666665,1.6666666666666667
m,22,no,f,Afghanistan,5,6.666666666666667,1
m,22,no,f,Ukraine,3,5.666666666666667,1.3333333333333333
f,22,no,m,Afghanistan,5,5,1.3333333333333333
m,22,no,f,Afghanistan,4,3,2
m,22,no,f,Ukraine,5,3,1
m,22,yes,f,Afghanistan,3,2.3333333333333335,1
m,22,no,f,Ukraine,1,4.666666666666667,1
m,22,no,f,Ukraine,3,2.3333333333333335,1.3333333333333333
m,22,yes,m,Afghanistan,4,5.333333333333333,1.3333333333333333
f,22,no,f,Ukraine,5,6,1
f,22,yes,f,Ukraine,4,6.333333333333333,1.6666666666666667
m,22,no,f,Ukraine,4,6.333333333333333,1
m,22,no,f,Ukraine,6,5.333333333333333,2
m,22,yes,f,Afghanistan,3,4,1.6666666666666667
m,22,no,m,Ukraine,5,4,1.6666666666666667
f,22,yes,m,Ukraine,2,1.6666666666666667,1.3333333333333333
m,23,no,f,Ukraine,1,3.6666666666666665,3.3333333333333335
f,23,no,f,Afghanistan,5,5,1
m,23,no,m,Ukraine,3,4.666666666666667,1.6666666666666667
f,23,no,f,Ukraine,4,5.333333333333333,1
m,23,no,m,Afghanistan,1,3.3333333333333335,3.3333333333333335
f,23,no,m,Ukraine,4,3,1.3333333333333333
f,23,yes,f,Afghanistan,5,6,1
f,23,yes,f,Ukraine,3,4,1
m,23,no,f,Afghanistan,2,4.333333333333333,3.6666666666666665
f,23,no,m,Ukraine,5,6,1
f,23,no,f,Ukraine,3,6.333333333333333,1.6666666666666667
f,23,yes,f,Ukraine,3,3.3333333333333335,2
