Age,Status,Pay,Seniority,Round
22,Fired,H,1.2,1
23,Retained,S,1.7,0
25,Retained,H,1.5,0
29,Retained,S,2.7,0
30,Retained,S,5.3,0
31,Fired,S,1.7,2
31,Fired,S,4.5,6
32,Retained,S,5.2,0
32,Retained,S,0.8,0
33,Retained,H,14.2,0
34,Retained,S,5.8,0
35,Retained,H,13.7,0
37,Retained,S,18.6,0
38,Retained,H,12.4,0
42,Fired,S,4.8,2
42,Fired,S,17.3,6
47,Fired,S,16.2,6
48,Retained,H,24.3,0
48,Retained,S,23.3,0
48,Retained,S,19.8,0
48,Retained,S,26.8,0
49,Retained,S,28.8,0
50,Retained,S,29,0
52,Retained,S,5.8,0
53,Retained,H,16.3,0
53,Retained,S,3.1,0
53,Retained,S,7.2,0
54,Fired,S,23.2,2
54,Fired,S,16.6,6
54,Retained,S,26.8,0
55,Fired,H,30.8,1
55,Fired,H,13.8,2
55,Fired,H,17.2,2
55,Fired,H,28.8,3
55,Retained,S,12.9,0
56,Fired,S,22.1,2
56,Fired,S,35.3,2
56,Fired,H,25.5,6
57,Retained,S,9.4,0
59,Fired,H,27.9,1
59,Fired,S,36,4
59,Retained,S,27.2,0
60,Retained,S,23.8,0
61,Fired,S,38.2,2
61,Retained,S,24.3,0
63,Fired,S,37.4,1
64,Fired,H,39.1,2
64,Fired,S,47.2,1
66,Retained,S,31.3,0
69,Fired,S,36.8,1
